region_id,mean,region_name
ARG.1.4,1.37,Almirante Brown
ARG.1.40,1.02,Florencio Varela
ARG.1.41,-1.02,General Alvarado
ARG.1.45,-0.38,General Guido
ARG.1.46,-0.61,General Juan Madariaga
ARG.1.49,-0.62,General Lavalle
ARG.1.52,-0.48,General Pueyrredn
ARG.1.53,0.86,General Rodrguez
ARG.1.54,1.38,General San Martn
ARG.1.55,1.34,General Sarmiento
ARG.1.58,1.5,Guamin
ARG.1.60,0.4,Junn
ARG.1.62,1.18,La Matanza
ARG.1.63,0.65,La Plata
ARG.1.64,1.15,Lans
ARG.1.69,-0.78,Lobera
ARG.1.7,1.14,Avellaneda
ARG.1.71,1.36,Lomas de Zamora
ARG.1.72,0.78,Lujn
ARG.1.73,-0.39,Magdalena
ARG.1.74,-0.57,Maip
ARG.1.75,-0.88,Mar Chiquita
ARG.1.76,0.73,Marcos Paz
ARG.1.77,0.62,Mercedes
ARG.1.78,1.27,Merlo
ARG.1.79,0.25,Monte Hermoso
ARG.1.81,1.46,Moreno
ARG.1.82,1.38,Morn
ARG.1.84,-0.66,Necochea
ARG.1.86,0.14,Olavarra
ARG.1.87,0.28,Patagones
ARG.1.89,2.14,Pellegrini
ARG.1.9,0.01,Azul
ARG.1.90,0.18,Pergamino
ARG.1.91,-0.21,Pila
ARG.1.92,1.08,Pilar
ARG.1.94,1.26,Pun
ARG.1.95,1.2,Quilmes
ARG.1.R04175599c3d46818,0.43,Argentina (unnamed region)
ARG.1.R084bd7faeecc8d03,-0.17,Argentina (unnamed region)
ARG.1.R312bac5c91f2da21,-0.28,Argentina (unnamed region)
ARG.1.R51418060ce459e89,1.84,Argentina (unnamed region)
ARG.1.R6000f0382252ce15,0.44,Argentina (unnamed region)
ARG.1.R6092d69a0dd069d1,0.78,Argentina (unnamed region)
ARG.1.R61994858163dacea,0.76,Argentina (unnamed region)
ARG.1.R658f95be021ea8b8,-0.43,Argentina (unnamed region)
ARG.1.R7f7810e5d8a3a2aa,0.18,Argentina (unnamed region)
ARG.1.R8405d4065a331296,0.25,Argentina (unnamed region)
ARG.1.R8940fe4d3279c26f,0.67,Argentina (unnamed region)
ARG.1.R8955ae8f5ff84b31,0.54,Argentina (unnamed region)
ARG.1.Rac59d1ebf79afd25,0.37,Argentina (unnamed region)
ARG.1.Race0fd6ccecef4f0,0.29,Argentina (unnamed region)
ARG.1.Rb3f795930621312a,0.16,Argentina (unnamed region)
ARG.1.Rc4b16d73e1da6d85,1.81,Argentina (unnamed region)
ARG.1.Rcf80ad3a103c7b1e,0.53,Argentina (unnamed region)
ARG.10.262,-5.94,Argentina (unnamed region)
ARG.10.263,-18.62,Cochinoca
ARG.10.264,-6.01,El Carmen
ARG.10.265,-23.05,Humahuaca
ARG.10.266,-8.36,Ledesma
ARG.10.267,-6,Palpal
ARG.10.268,-27.61,Rinconada
ARG.10.269,-4.74,San Antonio
ARG.10.270,-8.07,San Pedro
ARG.10.271,-6.3,Santa Brbara
ARG.10.272,-19.44,Santa Catalina
ARG.10.273,-31.76,Susques
ARG.10.274,-13.68,Tilcara
ARG.10.275,-14.89,Tumbaya
ARG.10.276,-11.63,Valle Grande
ARG.10.277,-12.23,Yavi
ARG.11.279,2.3,Caleu Caleu
ARG.11.280,2.42,Argentina (unnamed region)
ARG.11.282,3.92,Chalileo
ARG.11.284,3.03,Chical Co
ARG.11.286,3.29,Curac
ARG.11.288,2.08,Hucal
ARG.11.289,2.95,Lihuel Calel
ARG.11.290,3.54,Limay Mahuida
ARG.11.291,2.99,Loventu
ARG.11.292,2.19,Marac
ARG.11.293,3.16,Pueln
ARG.11.296,2.44,Realic
ARG.11.299,2.78,Utracn
ARG.11.Rd8ee571614dae95d,2.46,Argentina (unnamed region)
ARG.12.300,0.22,Arauco
ARG.12.301,0.99,Argentina (unnamed region)
ARG.12.304,1.41,Chilecito
ARG.12.305,0.45,Coronel Felipe Varela
ARG.12.310,1.25,General Lamadrid
ARG.12.313,2.97,Independencia
ARG.12.317,2.59,Vinchina
ARG.12.R3172cf0818acc5fc,0.99,Argentina (unnamed region)
ARG.12.R7657a2dc6074f435,1.25,Argentina (unnamed region)
ARG.12.Rb20b1b581d2782cb,1.15,Argentina (unnamed region)
ARG.12.Rc626480f11929e00,1.95,Argentina (unnamed region)
ARG.13.318,2.7,Argentina (unnamed region)
ARG.13.319,3.22,General Alvear
ARG.13.320,2.6,Godoy Cruz
ARG.13.321,2.88,Guaymalln
ARG.13.322,2.56,Junn
ARG.13.323,3.12,La Paz
ARG.13.324,2.7,Las Heras
ARG.13.325,3.07,Lavalle
ARG.13.326,1.55,Lujn de Cuyo
ARG.13.327,2.22,Maip
ARG.13.328,-1.33,Malarge
ARG.13.329,2.15,Rivadavia
ARG.13.330,0.84,San Carlos
ARG.13.331,2.25,San Martn
ARG.13.332,2.34,San Rafael
ARG.13.333,2.76,Santa Rosa
ARG.13.334,1.31,Tunuyn
ARG.13.335,0.88,Tupungato
ARG.14.337,-6.57,Caingus
ARG.14.338,-6.27,Candelaria
ARG.14.339,-5.94,Argentina (unnamed region)
ARG.14.340,-5.43,Concepcin
ARG.14.341,-7.86,Eldorado
ARG.14.342,-7.91,General Manuel Belgrano
ARG.14.344,-8.51,Iguaz
ARG.14.346,-7.27,Libertador General San Martn
ARG.14.347,-7.37,Montecarlo
ARG.14.348,-6.17,Ober
ARG.14.349,-6.65,San Ignacio
ARG.14.350,-5.87,San Javier
ARG.14.351,-7.15,San Pedro
ARG.14.R229b34c45d88aabc,-5.57,Argentina (unnamed region)
ARG.14.R54e5121922cc6fa2,-6.68,Argentina (unnamed region)
ARG.15.353,-7.99,Alumin
ARG.15.354,2.78,Aelo
ARG.15.355,-2.98,Catn Lil
ARG.15.356,-2.02,Chos Malal
ARG.15.357,-2.3,Colln Cur
ARG.15.358,2.9,Confluencia
ARG.15.359,-6.78,Huiliches
ARG.15.360,-8.83,Lacar
ARG.15.362,-10.48,Los Lagos
ARG.15.363,-10.11,Minas
ARG.15.364,-4.31,Norqun
ARG.15.365,2.59,Pehuenches
ARG.15.366,0.91,Picn Leuf
ARG.15.368,-1.49,Zapala
ARG.15.R371f800a67df8213,-1.61,Argentina (unnamed region)
ARG.16.369,0.24,Adolfo Alsina
ARG.16.370,2.84,Avellaneda
ARG.16.371,-9.38,Bariloche
ARG.16.372,1.08,Conesa
ARG.16.373,0.83,El Cuy
ARG.16.374,2.78,General Roca
ARG.16.375,-10.1,Norquinco
ARG.16.376,-0.21,Nueve de Julio
ARG.16.377,2.25,Pichi Mahuida
ARG.16.378,-7.48,Pilcaniyeu
ARG.16.379,0.78,San Antonio
ARG.16.380,1.18,Valcheta
ARG.16.381,-3.86,Veinticinco de Mayo
ARG.17.382,-2.67,Anta
ARG.17.383,-13.3,Cachi
ARG.17.384,-4.91,Cafayate
ARG.17.385,-5.82,Argentina (unnamed region)
ARG.17.386,-5.8,Cerrillos
ARG.17.387,-4.17,Chicoana
ARG.17.388,-7.3,General Gemes
ARG.17.389,-6.61,General Jos de San Martn
ARG.17.390,-4.78,Guachipas
ARG.17.391,4.19,Iruya
ARG.17.392,-2.14,La Caldera
ARG.17.393,-5.05,La Candelaria
ARG.17.394,-28.25,La Poma
ARG.17.395,-5.63,La Via
ARG.17.396,-34.28,Los Andes
ARG.17.397,-5.61,Metn
ARG.17.398,-7.97,Molinos
ARG.17.399,-7.04,Orn
ARG.17.400,-1.68,Rivadavia
ARG.17.401,-5.16,Rosario de la Frontera
ARG.17.402,-3.08,Rosario de Lerma
ARG.17.403,-4.46,San Carlos
ARG.17.404,8.62,Santa Victoria
ARG.18.405,2.09,Albardn
ARG.18.406,3.02,Angaco
ARG.18.407,-13.09,Calingasta
ARG.18.408,1.99,Argentina (unnamed region)
ARG.18.411,-10.32,Iglesia
ARG.18.412,1.12,Jchal
ARG.18.413,2.12,Pocito
ARG.18.416,3.06,San Martn
ARG.18.418,3.4,Sarmiento
ARG.18.419,2.42,Ullum
ARG.18.420,2.76,Valle Frtil
ARG.18.422,3.64,Zonda
ARG.18.Rc1564e5857996fe7,2.08,Argentina (unnamed region)
ARG.18.Rd79c1b5c6b9c6297,3.95,Argentina (unnamed region)
ARG.19.423,1.81,Ayacucho
ARG.19.424,2.07,Belgrano
ARG.19.425,0.79,Chacabuco
ARG.19.426,1.14,Coronel Pringles
ARG.19.427,1.33,General Pedernera
ARG.19.428,3.02,Gobernador Dupuy
ARG.19.429,1.13,Junn
ARG.19.430,1.71,La Capital
ARG.19.431,0.66,Libertador General San Martn
ARG.2.129,-1.29,Ambato
ARG.2.131,-0.19,Andalgal
ARG.2.132,-31.48,Antofagasta de la Sierra
ARG.2.133,1.39,Beln
ARG.2.134,1.63,Capayn
ARG.2.135,0.2,Argentina (unnamed region)
ARG.2.138,0.48,La Paz
ARG.2.139,-0.72,Pacln
ARG.2.140,3.15,Pomn
ARG.2.141,-9.62,Santa Mara
ARG.2.142,-0.8,Santa Rosa
ARG.2.143,5,Tinogasta
ARG.2.Raf70c3f177ebd0b7,0.29,Argentina (unnamed region)
ARG.2.Rbae049cd4432fa91,0.49,Argentina (unnamed region)
ARG.20.432,-7.73,Corpen Aike
ARG.20.433,-3.94,Deseado
ARG.20.434,-9.39,Ger Aike
ARG.20.435,-11.76,Lago Argentino
ARG.20.436,-8.3,Lago Buenos Aires
ARG.20.437,-6.68,Magallanes
ARG.20.438,-9.74,Rio Chico
ARG.21.440,0.45,Caseros
ARG.21.441,0.03,Castellanos
ARG.21.442,0.17,Constitucin
ARG.21.443,-0.19,Garay
ARG.21.444,0.76,General Lpez
ARG.21.445,-2.36,General Obligado
ARG.21.447,-0.1,La Capital
ARG.21.448,-0.22,Las Colonias
ARG.21.449,-0.03,Nueve de Julio
ARG.21.450,0.33,Rosario
ARG.21.451,-0.22,San Cristbal
ARG.21.452,-0.92,San Javier
ARG.21.453,-0.13,San Jernimo
ARG.21.454,-0.32,San Justo
ARG.21.455,0.18,San Lorenzo
ARG.21.456,0.23,San Martn
ARG.21.457,-1.4,Vera
ARG.21.R3f8ed072f5703775,0.18,Argentina (unnamed region)
ARG.22.458,0.02,Aguirre
ARG.22.459,-0.08,Alberdi
ARG.22.462,-0.13,Banda
ARG.22.463,0.02,Belgrano
ARG.22.464,-0.37,Argentina (unnamed region)
ARG.22.466,-0.38,Copo
ARG.22.468,0.16,General Taboada
ARG.22.469,-0.9,Guasayn
ARG.22.473,-0.13,Mitre
ARG.22.475,0.17,Ojo de Agua
ARG.22.478,-1.32,Rio Hondo
ARG.22.479,-0.38,Rivadavia
ARG.22.480,0.16,Robles
ARG.22.R0a74bce48a3dfd72,0.15,Argentina (unnamed region)
ARG.22.R97babc6ca96bb481,-2,Argentina (unnamed region)
ARG.22.Ra92aae7b482181cb,0.64,Argentina (unnamed region)
ARG.22.Rc51369f5ae3844b1,-0.01,Argentina (unnamed region)
ARG.23.485,-11.85,Rio Grande
ARG.23.486,-13.32,Ushuaia
ARG.24.487,-3.42,Burruyac
ARG.24.488,-4,Argentina (unnamed region)
ARG.24.489,-2.13,Chicligasta
ARG.24.490,-3.56,Cruz Alta
ARG.24.491,-3.28,Famaill
ARG.24.492,-1.3,Graneros
ARG.24.493,-1.15,Juan B. Alberdi
ARG.24.494,-1.17,La Cocha
ARG.24.495,-2.78,Leales
ARG.24.496,-4.13,Lules
ARG.24.497,-3.39,Monteros
ARG.24.498,-2.36,Rio Chico
ARG.24.499,-2.23,Simoca
ARG.24.500,-3.97,Taf del Valle
ARG.24.501,-3.25,Taf Viejo
ARG.24.502,-4.77,Trancas
ARG.24.503,-4.04,Yerba Buena
ARG.3.145,-0.25,Almirante Brown
ARG.3.147,-0.79,Chacabuco
ARG.3.148,-2.64,Comandante Fernndez
ARG.3.153,-1.1,General Gemes
ARG.3.156,-4.27,Libertador General San Martn
ARG.3.161,-3.15,Presidencia de la Plaza
ARG.3.163,-2.75,Quitilipi
ARG.3.164,-3.94,San Fernando
ARG.3.166,-3.56,Sargento Cabral
ARG.3.167,-2.81,Tapenag
ARG.3.R6edc5fe271c73e92,-1.83,Argentina (unnamed region)
ARG.3.Rc2765451418f621a,-4.14,Argentina (unnamed region)
ARG.3.Rdd04b1a411e34911,-0.32,Argentina (unnamed region)
ARG.4.169,-0.32,Biedma
ARG.4.170,-9.56,Cushamen
ARG.4.171,-2.81,Escalante
ARG.4.172,-2.07,Florentino Ameghino
ARG.4.173,-9.99,Futaleuf
ARG.4.174,-0.43,Gaiman
ARG.4.175,-6.62,Gastre
ARG.4.176,-9.54,Languieo
ARG.4.177,-1.21,Mrtires
ARG.4.178,-5.11,Paso de Indios
ARG.4.179,-0.26,Rawson
ARG.4.180,-8.77,Rio Senguer
ARG.4.181,-3.88,Sarmiento
ARG.4.182,-9.99,Tehuelches
ARG.4.183,-1.83,Telsen
ARG.5.184,1.19,Distrito Federal
ARG.6.186,0.16,Argentina (unnamed region)
ARG.6.187,-0.12,Coln
ARG.6.188,0.39,Cruz del Eje
ARG.6.189,2.08,General Roca
ARG.6.190,0.43,General San Martn
ARG.6.192,0.55,Jurez Celman
ARG.6.193,0.66,Marcos Jurez
ARG.6.196,1.26,Presidente Roque Senz Pea
ARG.6.197,-0.19,Punilla
